Regression,Ologit Group,Variable (concept),Reference question (latest available wording),2013 column,2013 answers,2013 note,2014 column,2014 answers,2014 note,2015 column,2015 answers,2015 note,2016 column,2016 answers,2016 note,2017 column,2017 answers,2017 note
Main,lyn (negative life events),IFLAS_ETTI,"B48.4 Son bir yılda, İflas ettim/dükkan kapattım",b48_4,1 Evet; 2 Hayır; 3 İlgili değil,,b48_4,1 Evet; 2 Hayır; 3 İlgili değil,,IFLAS_ETTI,1 Evet; 2 Hayır; 3 İlgili değil,,IFLAS_ETTI,1 Evet; 2 Hayır; 3 İlgili değil,,IFLAS_ETTI,1 Evet; 2 Hayır; 3 İlgili değil,
Main,lyn (negative life events),GELIRI_AZALDI,"B48.5 Son bir yılda, Gelirim azaldı",b48_5,1 Evet; 2 Hayır; 3 İlgili değil,,b48_5,1 Evet; 2 Hayır; 3 İlgili değil,,GELIRI_AZALDI,1 Evet; 2 Hayır; 3 İlgili değil,,GELIRI_AZALDI,1 Evet; 2 Hayır; 3 İlgili değil,,GELIRI_AZALDI,1 Evet; 2 Hayır; 3 İlgili değil,
Main,lyn (negative life events),TASARRUFLARI_AZALDI,"B48.7 Son bir yılda, Tasarruflarımda azalma oldu",b48_7,1 Evet; 2 Hayır; 3 İlgili değil,,b48_7,1 Evet; 2 Hayır; 3 İlgili değil,,TASARRUFLARI_AZALDI,1 Evet; 2 Hayır; 3 İlgili değil,,TASARRUFLARI_AZALDI,1 Evet; 2 Hayır; 3 İlgili değil,,TASARRUFLARI_AZALDI,1 Evet; 2 Hayır; 3 İlgili değil,
Main,lyn (negative life events),UCUZ_URUN,"B48.9 Son bir yılda, Daha ucuz ürünlerin tüketimine yöneldim",b48_9,1 Evet; 2 Hayır,,b48_9,1 Evet; 2 Hayır,,UCUZ_URUN,1 Evet; 2 Hayır,,UCUZ_URUN,1 Evet; 2 Hayır,,UCUZ_URUN,1 Evet; 2 Hayır,
Main,lyn (negative life events),TATIL_KISTI,"B48.10 Son bir yılda, Eğlence/tatil harcamalarımı kıstım",b48_10,1 Evet; 2 Hayır; 3 İlgili değil,,b48_10,1 Evet; 2 Hayır; 3 İlgili değil,,TATIL_KISTI,1 Evet; 2 Hayır; 3 İlgili değil,,TATIL_KISTI,1 Evet; 2 Hayır; 3 İlgili değil,,TATIL_KISTI,1 Evet; 2 Hayır; 3 İlgili değil,
Main,lyn (negative life events),ARABA_SATTI,"B48.14 Son bir yılda, Arabamı sattım",b48_14,1 Evet; 2 Hayır; 3 İlgili değil,,b48_14,1 Evet; 2 Hayır; 3 İlgili değil,,ARABA_SATTI,1 Evet; 2 Hayır; 3 İlgili değil,,ARABA_SATTI,1 Evet; 2 Hayır; 3 İlgili değil,,ARABA_SATTI,1 Evet; 2 Hayır; 3 İlgili değil,
Main,lyn (negative life events),EV_SATTI,"B48.15 Son bir yılda, Ev, arsa, yazlık vb. sattım",b48_15,1 Evet; 2 Hayır; 3 İlgili değil,,b48_15,1 Evet; 2 Hayır; 3 İlgili değil,,EV_SATTI,1 Evet; 2 Hayır; 3 İlgili değil,,EV_SATTI,1 Evet; 2 Hayır; 3 İlgili değil,,EV_SATTI,1 Evet; 2 Hayır; 3 İlgili değil,
Main,lyn (negative life events),BORCLANDI,"B48.16 Son bir yılda, Borçlandım",b48_16,1 Evet; 2 Hayır,,b48_16,1 Evet; 2 Hayır,,BORCLANDI,1 Evet; 2 Hayır,,BORCLANDI,1 Evet; 2 Hayır,,BORCLANDI,1 Evet; 2 Hayır,
Main,lym (migration),GOC_ETTI,"B48.11 Son bir yılda, göç etmek zorunda kaldım.",b48_11,1 Evet; 2 Hayır,,b48_11,1 Evet; 2 Hayır,,GOC_ETTI,1 Evet; 2 Hayır,,GOC_ETTI,1 Evet; 2 Hayır,,GOC_ETTI,1 Evet; 2 Hayır,
Main,fsp (social pressure),CINSIYET_BASKI,B53.1 Cinsiyetinizden dolayı üzerinizde herhangi bir toplumsal baskı hissediyor musunuz?,b53_1,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,,b53_1,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,,CINSIYET_BASKI,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,,CINSIYET_BASKI,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,,CINSIYET_BASKI,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,
Main,fsp (social pressure),MEDENI_DURUM_BASKI,B53.2 Medeni durumunuzdan dolayı üzerinizde herhangi bir toplumsal baskı hissediyor musunuz?,b53_2,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,,b53_2,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,,MEDENI_DURUM_BASKI,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,,MEDENI_DURUM_BASKI,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,,MEDENI_DURUM_BASKI,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,
Main,fsp (social pressure),YAS_BASKI,B53.3 Yaşınızdan dolayı üzerinizde herhangi bir toplumsal baskı hissediyor musunuz?,b53_3,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,,b53_3,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,,YAS_BASKI,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,,YAS_BASKI,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,,YAS_BASKI,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,
Main,fsp (social pressure),GELENEK_GORENEK,B53.4 Gelenek göreneklerinizden dolayı üzerinizde herhangi bir toplumsal baskı hissediyor musunuz?,b53_4,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,,b53_4,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,,GELENEK_GORENEK,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,,GELENEK_GORENEK,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,,GELENEK_GORENEK,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,
Main,fsp (social pressure),DINI_INANCDAN,B53.5 Dini inanç ve davranışlarınızdan dolayı üzerinizde herhangi bir toplumsal baskı hissediyor musunuz?,b53_5,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,,b53_5,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,,DINI_INANCDAN,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,,DINI_INANCDAN,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,,DINI_INANCDAN,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,
Main,fsp (social pressure),SIYASI_GORUSTEN,B53.6 Siyasi görüşünüzden dolayı üzerinizde herhangi bir toplumsal baskı hissediyor musunuz?,b53_6,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,,b53_6,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,,SIYASI_GORUSTEN,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,,SIYASI_GORUSTEN,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,,SIYASI_GORUSTEN,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,
Main,fsp (social pressure),MEMLEKETINDEN,B53.7 Memleketinizden dolayı üzerinizde herhangi bir toplumsal baskı hissediyor musunuz?,b53_7,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,,b53_7,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,,MEMLEKETINDEN,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,,MEMLEKETINDEN,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,,MEMLEKETINDEN,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,
Main,fsp (social pressure),ISINDEN_DOLAYI,B53.8 İşinizden dolayı üzerinizde herhangi bir toplumsal baskı hissediyor musunuz?,b53_8,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,CALISMA_DURUM=1 veya 2 ise sorunuz,b53_8,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,CALISMA_DURUM=1 veya 2 ise sorunuz,ISINDEN_DOLAYI,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,CALISMA_DURUM=1 veya 2 ise sorunuz,ISINDEN_DOLAYI,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,CALISMA_DURUM=1 veya CALISMA_DURUM=2 ise sorunuz,ISINDEN_DOLAYI,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,CALISMA_DURUM=1 veya CALISMA_DURUM=2 ise sorunuz
Main,fsp (social pressure),KILIK_KIYAFET,B53.9 Kılık kıyafetinizden dolayı üzerinizde herhangi bir toplumsal baskı hissediyor musunuz?,b53_9,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,,b53_9,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,,KILIK_KIYAFET,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,,KILIK_KIYAFET,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,,KILIK_KIYAFET,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,
Main,fsp (social pressure),ISSIZ_OLMA,"B53.10 İşsiz, çalışmıyor olmaktan dolayı üzerinizde herhangi bir toplumsal baskı hissediyor musunuz?",b53_10,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,CALISMA_DURUM=3 ise sorunuz,b53_10,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,CALISMA_DURUM=3 ise sorunuz,ISSIZ_OLMA,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,CALISMA_DURUM=3 ise sorunuz,ISSIZ_OLMA,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,CALISMA_DURUM=3 ise sorunuz,ISSIZ_OLMA,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,CALISMA_DURUM=3 ise sorunuz
Main,fsp (social pressure),GELIR_DUZEY_DURUM,B53.11 Gelir düzeyinizden dolayı üzerinizde herhangi bir toplumsal baskı hissediyor musunuz?,b53_11,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,,b53_11,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,,GELIR_DUZEY_DURUM,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,,GELIR_DUZEY_DURUM,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,,GELIR_DUZEY_DURUM,1 Hiç bir zaman; 2 Bazen; 3 Sıklıkla; 4 Her zaman,
Main,frs2 (relative/extended-family satisfaction),OLCEK_MEMNUNIYET_AKRABA,B13.1 Akrabalarınızla ilişkilerinizden memnun musunuz?,b13_1,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,,b13_1,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,,OLCEK_MEMNUNIYET_AKRABA,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,,OLCEK_MEMNUNIYET_AKRABA,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,,OLCEK_MEMNUNIYET_AKRABA,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,
Main,cms (commute time satisfaction),OLCEK_MEMNUNIYET_IS_TRFK_ZMN,B12.11 İşe geliş gidiş için harcadığınız (ayırdığınız) zamandan memnun musunuz?,b12_11,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,CALISMA_DURUM=1 veya 2 ise sorunuz,b12_11,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,CALISMA_DURUM=1 veya 2 ise sorunuz,OLCEK_MEMNUNIYET_IS_TRFK_ZMN,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,CALISMA_DURUM=1 veya 2 ise sorunuz,OLCEK_MEMNUNIYET_IS_TRFK_ZMN,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,CALISMA_DURUM=1 veya 2 ise sorunuz,OLCEK_MEMNUNIYET_IS_TRFK_ZMN,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,CALISMA_DURUM=1 veya 2 ise sorunuz
Main,ten (housing tenure),MULKIYET,H7 Yaşadığınız konutun mülkiyet durumu nedir?,h7,1 Ev sahibi; 2 Kiracı; 3 Lojman; 4 Ev sahibi değil ama kira ödemiyor,,h7,1 Ev sahibi; 2 Kiracı; 3 Lojman; 4 Ev sahibi değil ama kira ödemiyor,,MULKIYET,1 Ev sahibi; 2 Kiracı; 3 Lojman; 4 Ev sahibi değil ama kira ödemiyor,,MULKIYET,1 Ev sahibi; 2 Kiracı; 3 Lojman; 4 Ev sahibi değil ama kira ödemiyor,,MULKIYET,1 Ev sahibi; 2 Kiracı; 3 Lojman; 4 Ev sahibi değil ama kira ödemiyor,
Main,"fye (future outlook, personal vs national -- check correlation with fyl before finalizing)",GELECEK_HAYAT,B44.1 Önümüzdeki yıl (2014)  genel olarak hayatınız sizce nasıl olacak?,b44_1,1 Daha iyi olacak; 2 Aynı olacak; 3 Daha kötü olacak; 4 Fikri yok,,b44_1,1 Daha iyi olacak; 2 Aynı olacak; 3 Daha kötü olacak; 4 Fikri yok,,GELECEK_HAYAT,1 Daha iyi olacak; 2 Aynı olacak; 3 Daha kötü olacak; 4 Fikri yok,,GELECEK_HAYAT,1 Daha iyi olacak; 2 Aynı olacak; 3 Daha kötü olacak; 4 Fikri yok,,GELECEK_HAYAT,1 Daha iyi olacak; 2 Aynı olacak; 3 Daha kötü olacak; 4 Fikri yok,
Main,"fye (future outlook, personal vs national -- check correlation with fyl before finalizing)",GELECEK_KISISEL,"B44.2 Önümüzdeki yıl (2014), kişisel iş durumunuz sizce nasıl olacak?",b44_2,1 Daha iyi olacak; 2 Aynı olacak; 3 Daha kötü olacak; 4 Fikri yok; 5 Çalışmayacak,,b44_2,1 Daha iyi olacak; 2 Aynı olacak; 3 Daha kötü olacak; 4 Fikri yok; 5 Çalışmayacak,,GELECEK_KISISEL,1 Daha iyi olacak; 2 Aynı olacak; 3 Daha kötü olacak; 4 Fikri yok; 5 Çalışmayacak,,GELECEK_KISISEL,1 Daha iyi olacak; 2 Aynı olacak; 3 Daha kötü olacak; 4 Fikri yok; 5 Çalışmayacak,,GELECEK_KISISEL,1 Daha iyi olacak; 2 Aynı olacak; 3 Daha kötü olacak; 4 Fikri yok; 5 Çalışmayacak,
Main,"fye (future outlook, personal vs national -- check correlation with fyl before finalizing)",GELECEK_MALI,"B44.3 Önümüzdeki yıl (2014), hanenizin mali durumu sizce nasıl olacak?",b44_3,1 Daha iyi olacak; 2 Aynı olacak; 3 Daha kötü olacak; 4 Fikri yok,,b44_3,1 Daha iyi olacak; 2 Aynı olacak; 3 Daha kötü olacak; 4 Fikri yok,,GELECEK_MALI,1 Daha iyi olacak; 2 Aynı olacak; 3 Daha kötü olacak; 4 Fikri yok,,GELECEK_MALI,1 Daha iyi olacak; 2 Aynı olacak; 3 Daha kötü olacak; 4 Fikri yok,,GELECEK_MALI,1 Daha iyi olacak; 2 Aynı olacak; 3 Daha kötü olacak; 4 Fikri yok,
Main,"fye (future outlook, personal vs national -- check correlation with fyl before finalizing)",GELECEK_IS,"B44.4 Önümüzdeki yıl (2014), Türkiye'deki iş/çalışma durumu sizce nasıl olacak?",b44_4,1 Daha iyi olacak; 2 Aynı olacak; 3 Daha kötü olacak; 4 Fikri yok,,b44_4,1 Daha iyi olacak; 2 Aynı olacak; 3 Daha kötü olacak; 4 Fikri yok,,GELECEK_IS,1 Daha iyi olacak; 2 Aynı olacak; 3 Daha kötü olacak; 4 Fikri yok,,GELECEK_IS,1 Daha iyi olacak; 2 Aynı olacak; 3 Daha kötü olacak; 4 Fikri yok,,GELECEK_IS,1 Daha iyi olacak; 2 Aynı olacak; 3 Daha kötü olacak; 4 Fikri yok,
Main,"fye (future outlook, personal vs national -- check correlation with fyl before finalizing)",GELECEK_EKONOMI,"B44.5 Önümüzdeki yıl (2014), Türkiye'nin içinde bulunduğu ekonomik durum sizce nasıl olacak?",b44_5,1 Daha iyi olacak; 2 Aynı olacak; 3 Daha kötü olacak; 4 Fikri yok,,b44_5,1 Daha iyi olacak; 2 Aynı olacak; 3 Daha kötü olacak; 4 Fikri yok,,GELECEK_EKONOMI,1 Daha iyi olacak; 2 Aynı olacak; 3 Daha kötü olacak; 4 Fikri yok,,GELECEK_EKONOMI,1 Daha iyi olacak; 2 Aynı olacak; 3 Daha kötü olacak; 4 Fikri yok,,GELECEK_EKONOMI,1 Daha iyi olacak; 2 Aynı olacak; 3 Daha kötü olacak; 4 Fikri yok,
Main,"stc (status-comparison concern, next to fsp)",KIYAFET_ONEM,"B51.1 Çevrenizdeki diğer kişilerin, kılık kıyafetleri sizin için ne kadar önemlidir?",b51_1,1 Önemli; 2 Orta; 3 Önemli değil,,b51_1,1 Önemli; 2 Orta; 3 Önemli değil,,KIYAFET_ONEM,1 Önemli; 2 Orta; 3 Önemli değil,,KIYAFET_ONEM,1 Önemli; 2 Orta; 3 Önemli değil,,KIYAFET_ONEM,1 Önemli; 2 Orta; 3 Önemli değil,
Main,"stc (status-comparison concern, next to fsp)",AILE_YASAM_ONEM,"B51.2 Çevrenizdeki diğer kişilerin, aile yaşam biçimleri sizin için ne kadar önemlidir?",b51_2,1 Önemli; 2 Orta; 3 Önemli değil,,b51_2,1 Önemli; 2 Orta; 3 Önemli değil,,AILE_YASAM_ONEM,1 Önemli; 2 Orta; 3 Önemli değil,,AILE_YASAM_ONEM,1 Önemli; 2 Orta; 3 Önemli değil,,AILE_YASAM_ONEM,1 Önemli; 2 Orta; 3 Önemli değil,
Main,"stc (status-comparison concern, next to fsp)",KISISEL_ESYA_ONEM,"B51.3 Çevrenizdeki diğer kişilerin, ev ve kişisel eşyaları (cep tel, araba vb. )  sizin için ne kadar önemlidir?",b51_3,1 Önemli; 2 Orta; 3 Önemli değil,,b51_3,1 Önemli; 2 Orta; 3 Önemli değil,,KISISEL_ESYA_ONEM,1 Önemli; 2 Orta; 3 Önemli değil,,KISISEL_ESYA_ONEM,1 Önemli; 2 Orta; 3 Önemli değil,,KISISEL_ESYA_ONEM,1 Önemli; 2 Orta; 3 Önemli değil,
Main,"stc (status-comparison concern, next to fsp)",ARKADAS_CEVRE_ONEM,"B51.4 Çevrenizdeki diğer kişilerin, arkadaş çevreleri sizin için ne kadar önemlidir?",b51_4,1 Önemli; 2 Orta; 3 Önemli değil,,b51_4,1 Önemli; 2 Orta; 3 Önemli değil,,ARKADAS_CEVRE_ONEM,1 Önemli; 2 Orta; 3 Önemli değil,,ARKADAS_CEVRE_ONEM,1 Önemli; 2 Orta; 3 Önemli değil,,ARKADAS_CEVRE_ONEM,1 Önemli; 2 Orta; 3 Önemli değil,
Main,"stc (status-comparison concern, next to fsp)",COCUK_BASARI_ONEM,"B51.5 Çevrenizdeki diğer kişilerin, çocuklarının başarıları sizin için ne kadar önemlidir?",b51_5,1 Önemli; 2 Orta; 3 Önemli değil,,b51_5,1 Önemli; 2 Orta; 3 Önemli değil,,COCUK_BASARI_ONEM,1 Önemli; 2 Orta; 3 Önemli değil,,COCUK_BASARI_ONEM,1 Önemli; 2 Orta; 3 Önemli değil,,COCUK_BASARI_ONEM,1 Önemli; 2 Orta; 3 Önemli değil,
Main,"stc (status-comparison concern, next to fsp)",EVE_GIRIS_SAAT_ONEM,"B51.6 Çevrenizdeki insanların, eve giriş çıkış saatleri sizin için ne kadar önemlidir?",b51_6,1 Önemli; 2 Orta; 3 Önemli değil,,b51_6,1 Önemli; 2 Orta; 3 Önemli değil,,EVE_GIRIS_SAAT_ONEM,1 Önemli; 2 Orta; 3 Önemli değil,,EVE_GIRIS_SAAT_ONEM,1 Önemli; 2 Orta; 3 Önemli değil,,EVE_GIRIS_SAAT_ONEM,1 Önemli; 2 Orta; 3 Önemli değil,
Main,"stc (status-comparison concern, next to fsp)",YAPTIKLARI_IS_ONEM,"B51.7 Çevrenizdeki diğer kişilerin, yaptıkları işleri sizin için ne kadar önemlidir?",b51_7,1 Önemli; 2 Orta; 3 Önemli değil,,b51_7,1 Önemli; 2 Orta; 3 Önemli değil,,YAPTIKLARI_IS_ONEM,1 Önemli; 2 Orta; 3 Önemli değil,,YAPTIKLARI_IS_ONEM,1 Önemli; 2 Orta; 3 Önemli değil,,YAPTIKLARI_IS_ONEM,1 Önemli; 2 Orta; 3 Önemli değil,
Main,"stc (status-comparison concern, next to fsp)",GELIR_DUZEYLERI_ONEM,"B51.8 Çevrenizdeki diğer kişilerin, gelir düzeyleri sizin için ne kadar önemlidir?",b51_8,1 Önemli; 2 Orta; 3 Önemli değil,,b51_8,1 Önemli; 2 Orta; 3 Önemli değil,,GELIR_DUZEYLERI_ONEM,1 Önemli; 2 Orta; 3 Önemli değil,,GELIR_DUZEYLERI_ONEM,1 Önemli; 2 Orta; 3 Önemli değil,,GELIR_DUZEYLERI_ONEM,1 Önemli; 2 Orta; 3 Önemli değil,
Main,"stc (status-comparison concern, next to fsp)",DINI_INANC_ONEM,"B51.9 Çevrenizdeki diğer kişilerin, dini inançları sizin için ne kadar önemlidir?",b51_9,1 Önemli; 2 Orta; 3 Önemli değil,,b51_9,1 Önemli; 2 Orta; 3 Önemli değil,,DINI_INANC_ONEM,1 Önemli; 2 Orta; 3 Önemli değil,,DINI_INANC_ONEM,1 Önemli; 2 Orta; 3 Önemli değil,,DINI_INANC_ONEM,1 Önemli; 2 Orta; 3 Önemli değil,
Main,"stc (status-comparison concern, next to fsp)",SIYASI_DUSUNCE_ONEM,"B51.10 Çevrenizdeki diğer kişilerin, siyasi düşünceleri sizin için ne kadar önemlidir?",b51_10,1 Önemli; 2 Orta; 3 Önemli değil,,b51_10,1 Önemli; 2 Orta; 3 Önemli değil,,SIYASI_DUSUNCE_ONEM,1 Önemli; 2 Orta; 3 Önemli değil,,SIYASI_DUSUNCE_ONEM,1 Önemli; 2 Orta; 3 Önemli değil,,SIYASI_DUSUNCE_ONEM,1 Önemli; 2 Orta; 3 Önemli değil,
Main,"stc (status-comparison concern, next to fsp)",EGITIM_DUZEYI_ONEM,"B51.11 Çevrenizdeki diğer kişilerin, eğitim düzeyleri sizin için ne kadar önemlidir?",b51_11,1 Önemli; 2 Orta; 3 Önemli değil,,b51_11,1 Önemli; 2 Orta; 3 Önemli değil,,EGITIM_DUZEYI_ONEM,1 Önemli; 2 Orta; 3 Önemli değil,,EGITIM_DUZEYI_ONEM,1 Önemli; 2 Orta; 3 Önemli değil,,EGITIM_DUZEYI_ONEM,1 Önemli; 2 Orta; 3 Önemli değil,
Main,"stc (status-comparison concern, next to fsp)",KIYAFETINIZ_ONEM,"B52.1 Çevrenizdeki kişilerin (akraba, arkadaş, komşu vb.) sizinle ilgili kılık kıyafetiniz hakkındaki düşünceleri  sizin için ne kadar önemlidir?",b52_1,1 Önemli; 2 Orta; 3 Önemli değil,,b52_1,1 Önemli; 2 Orta; 3 Önemli değil,,KIYAFETINIZ_ONEM,1 Önemli; 2 Orta; 3 Önemli değil,,KIYAFETINIZ_ONEM,1 Önemli; 2 Orta; 3 Önemli değil,,KIYAFETINIZ_ONEM,1 Önemli; 2 Orta; 3 Önemli değil,
Main,"stc (status-comparison concern, next to fsp)",AILE_YASAM_BICIMI_ONEM,"B52.2 Çevrenizdeki kişilerin (akraba, arkadaş, komşu vb.) sizinle ilgili aile yaşam biçiminiz hakkındaki düşünceleri sizin için ne kadar önemlidir?",b52_2,1 Önemli; 2 Orta; 3 Önemli değil,,b52_2,1 Önemli; 2 Orta; 3 Önemli değil,,AILE_YASAM_BICIMI_ONEM,1 Önemli; 2 Orta; 3 Önemli değil,,AILE_YASAM_BICIMI_ONEM,1 Önemli; 2 Orta; 3 Önemli değil,,AILE_YASAM_BICIMI_ONEM,1 Önemli; 2 Orta; 3 Önemli değil,
Main,"stc (status-comparison concern, next to fsp)",KISISEL_ESYANIZ_ONEM,"B52.3 Çevrenizdeki kişilerin (akraba, arkadaş, komşu vb.) sizinle ilgili ev ve kişisel eşyalarınız hakkındaki düşünceleri (cep tel, araba vb. ) sizin için ne kadar önemlidir?",b52_3,1 Önemli; 2 Orta; 3 Önemli değil,,b52_3,1 Önemli; 2 Orta; 3 Önemli değil,,KISISEL_ESYANIZ_ONEM,1 Önemli; 2 Orta; 3 Önemli değil,,KISISEL_ESYANIZ_ONEM,1 Önemli; 2 Orta; 3 Önemli değil,,KISISEL_ESYANIZ_ONEM,1 Önemli; 2 Orta; 3 Önemli değil,
Main,"stc (status-comparison concern, next to fsp)",ARKADAS_CEVRENIZ_ONEM,"B52.4 Çevrenizdeki kişilerin (akraba, arkadaş, komşu vb.) sizinle ilgili arkadaş çevreniz hakkındaki düşünceleri sizin için ne kadar önemlidir?",b52_4,1 Önemli; 2 Orta; 3 Önemli değil,,b52_4,1 Önemli; 2 Orta; 3 Önemli değil,,ARKADAS_CEVRENIZ_ONEM,1 Önemli; 2 Orta; 3 Önemli değil,,ARKADAS_CEVRENIZ_ONEM,1 Önemli; 2 Orta; 3 Önemli değil,,ARKADAS_CEVRENIZ_ONEM,1 Önemli; 2 Orta; 3 Önemli değil,
Main,"stc (status-comparison concern, next to fsp)",COCUGUN_BASARISI_ONEM,"B52.5 Çevrenizdeki kişilerin (akraba, arkadaş, komşu vb.) sizinle ilgili çocuklarınızın başarısı hakkındaki düşünceler sizin için ne kadar önemlidir?",b52_5,1 Önemli; 2 Orta; 3 Önemli değil; 4 İlgili değil,,b52_5,1 Önemli; 2 Orta; 3 Önemli değil; 4 İlgili değil,,COCUGUN_BASARISI_ONEM,1 Önemli; 2 Orta; 3 Önemli değil; 4 İlgili değil,,COCUGUN_BASARISI_ONEM,1 Önemli; 2 Orta; 3 Önemli değil; 4 İlgili değil,,COCUGUN_BASARISI_ONEM,1 Önemli; 2 Orta; 3 Önemli değil; 4 İlgili değil,
Main,"stc (status-comparison concern, next to fsp)",EVE_GIRISCIKIC_SAAT_ONEM,"B52.6 Çevrenizdeki kişilerin (akraba, arkadaş, komşu vb.) sizinle ilgili eve giriş çıkış saatiniz hakkındaki düşünceleri sizin için ne kadar önemlidir?",b52_6,1 Önemli; 2 Orta; 3 Önemli değil,,b52_6,1 Önemli; 2 Orta; 3 Önemli değil,,EVE_GIRISCIKIC_SAAT_ONEM,1 Önemli; 2 Orta; 3 Önemli değil,,EVE_GIRISCIKIC_SAAT_ONEM,1 Önemli; 2 Orta; 3 Önemli değil,,EVE_GIRISCIKIC_SAAT_ONEM,1 Önemli; 2 Orta; 3 Önemli değil,
